list,max_key,u_rate,rq_rate,wrk_threads,rq_threads,rq_size,u_latency,c_latency,rq_latency,tot_thruput,u_thruput,c_thruput,rq_thruput,rq_len,avg_in_announce,avg_in_bags,reachable_nodes,avg_bundle_size
citrus-lockfree,100000,45.00,10.00,48,0,50,852,558,10649,26006138,11714613,58433475,2604830,25,0,162,0,0.00
citrus-lockfree,100000,45.00,10.00,64,0,50,1696,640,23669,17715414,7982970,39792750,1773894,24,0,217,0,0.00
citrus-lockfree,100000,45.00,10.00,80,0,50,2245,669,33649,16873067,7598676,37924935,1689404,24,0,287,0,0.00
citrus-lockfree,100000,45.00,10.00,96,0,50,2305,703,40345,16820158,7576573,37796290,1684327,25,0,342,0,0.00
citrus-bundle,100000,49.00,2.00,1,0,50,591,406,3554,1691499,829794,4137865,34132,24,0,0,49980,1.17
citrus-bundle,100000,49.00,2.00,16,0,50,918,555,3712,19828949,9728733,48512715,397673,24,0,0,49999,1.17
citrus-bundle,100000,49.00,2.00,32,0,50,1455,931,4706,24680977,12105759,60406590,493900,25,0,0,49811,1.17
citrus-bundle,100000,49.00,2.00,48,0,50,1954,1205,5906,27063326,13277777,66220085,541532,24,0,0,50004,1.17
citrus-bundle,100000,49.00,2.00,64,0,50,3900,2040,9708,19425351,9529591,47532110,389338,24,0,0,50001,1.17
citrus-bundle,100000,49.00,2.00,80,0,50,4997,2791,11744,19739704,9682383,48308565,395608,25,0,0,49971,1.17
citrus-bundle,100000,49.00,2.00,96,0,50,4751,2383,11353,22664455,11118877,55459650,453648,24,0,0,50007,1.17
citrus-lockfree,100000,49.00,2.00,1,0,50,394,310,1658,2881999,1414215,7051160,57552,25,0,0,0,0.00
citrus-lockfree,100000,49.00,2.00,16,0,50,539,364,4474,30589741,15005892,74858640,612121,24,0,56,0,0.00
citrus-lockfree,100000,49.00,2.00,32,0,50,738,475,8655,41320447,20268684,101121415,827480,24,0,119,0,0.00
citrus-lockfree,100000,49.00,2.00,48,0,50,836,522,14232,45923515,22527733,112377725,920237,24,0,186,0,0.00
citrus-lockfree,100000,49.00,2.00,64,0,50,1691,709,23322,35302327,17317922,86386585,707088,24,0,238,0,0.00
citrus-lockfree,100000,49.00,2.00,80,0,50,2154,835,29432,36651417,17981050,89680290,734309,25,0,309,0,0.00
citrus-lockfree,100000,49.00,2.00,96,0,50,2100,802,37867,39762799,19506702,97294230,797251,25,0,371,0,0.00
citrus-bundle,100000,50.00,0.00,1,0,50,788,544,0,1759171,880580,4392955,0,0,0,0,49664,1.17
citrus-bundle,100000,50.00,0.00,16,0,50,962,568,0,21161544,10596949,52822975,0,0,0,0,49846,1.17
citrus-bundle,100000,50.00,0.00,32,0,50,1458,924,0,25099828,12564443,62676925,0,0,0,0,50053,1.17
citrus-bundle,100000,50.00,0.00,48,0,50,1946,1134,0,27458470,13745541,68564645,0,0,0,0,49936,1.17
citrus-bundle,100000,50.00,0.00,64,0,50,4025,1992,0,18746156,9383704,46812260,0,0,0,0,50188,1.17
citrus-bundle,100000,50.00,0.00,80,0,50,4713,2255,0,20343956,10182894,50805310,0,0,0,0,50026,1.17
citrus-bundle,100000,50.00,0.00,96,0,50,4526,2292,0,24077201,12050779,60132110,0,0,0,0,49972,1.17
citrus-lockfree,100000,50.00,0.00,1,0,50,680,523,0,2987943,1495575,7461840,0,0,0,0,0,0.00
citrus-lockfree,100000,50.00,0.00,16,0,50,566,377,0,35455608,17748794,88534070,0,0,0,0,0,0.00
citrus-lockfree,100000,50.00,0.00,32,0,50,738,455,0,46961945,23507934,117270055,0,0,0,0,0,0.00
citrus-lockfree,100000,50.00,0.00,48,0,50,889,509,0,53808784,26937124,134358300,0,0,0,0,0,0.00
citrus-lockfree,100000,50.00,0.00,64,0,50,2267,772,0,35568631,17804134,88822485,0,0,0,0,0,0.00
citrus-lockfree,100000,50.00,0.00,80,0,50,2886,851,0,33887605,16961802,84629015,0,0,0,0,0,0.00
citrus-lockfree,100000,50.00,0.00,96,0,50,3246,983,0,38129690,19086363,95216635,0,0,0,0,0,0.00
citrus-bundle,100000,0.00,100.00,1,0,50,0,0,2973,386016,0,0,386016,24,0,0,49787,1.17
citrus-bundle,100000,0.00,100.00,16,0,50,0,0,2848,5879623,0,0,5879623,24,0,0,49901,1.17
citrus-bundle,100000,0.00,100.00,32,0,50,0,0,3519,9474510,0,0,9474510,25,0,0,50307,1.17
citrus-bundle,100000,0.00,100.00,48,0,50,0,0,4246,11940799,0,0,11940799,25,0,0,50172,1.17
citrus-bundle,100000,0.00,100.00,64,0,50,0,0,3720,16827626,0,0,16827626,24,0,0,49885,1.17
citrus-bundle,100000,0.00,100.00,80,0,50,0,0,5061,18623686,0,0,18623686,25,0,0,50039,1.17
